,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
55,51631753,【复旦大学公开课】深度学习,2019-05-07,Akitsuki-,2240,0,4,411,12,11,38,"[科学, 神经网络, 课程, 人工智能, 公开课, 复旦大学, 机器学习, 复旦, 深度学习, DEEPLEARNING]"
125,23424832,复旦大学 王振复“周易文化研究”系列讲座 全27讲 主讲-王振复 视频教程,2018-05-14,choitsjilp,4327,2,4,409,10,16,25,[学习]
107,36478164,【科学技术哲学】复旦大学 科学哲学  主讲-张志林【全61讲】,2018-11-22,海鷗叔叔的孤島,2758,15,5,409,16,17,53,"[公开课, 科学技术哲学]"
140,23870721,复旦大学 《精神分析引论》导读 全46讲 主讲-陈学明 视频教程,2018-05-24,choitsjilp,2068,3,2,408,11,17,18,[学习]
99,24070072,复旦大学生理学,2018-05-28,巧克力milk,8513,17,12,400,30,47,74,[课程]
71,39735033,会计学原理—复旦大学–徐晔,2019-01-02,宝儿学堂,6479,14,6,391,23,24,58,"[财经, 教育, 考试, 学习, 会计, 线上课堂]"
106,40036005,西方美学经典导读【45集】(陆扬：复旦大学),2019-01-06,York1996,1902,1,1,383,6,9,16,"[死亡美学, 托马斯-阿奎那的美学, 希腊文化中的美, 西方美学经典导读专题, 上帝的形象, 中世纪美学]"
63,49979542,复旦大学公开课系列010: 用经济学智慧解读中国 石磊    全62讲,2019-04-21,蓝天手机,2294,24,6,354,11,7,38,"[人文, 中国, 经济学, 社会, 公开课, 经济, 复旦大学, 社会学, 复旦, 解读中国, 经济社会]"
114,37164000,复旦大学政治经济学 63讲,2018-12-01,绝望中年人,2404,2,1,339,6,10,20,"[教育, 学习, 课程, 公开课]"
115,29475495,【校级精品课程】计算机网络与网页制作_复旦大学,2018-08-16,JD之友,4356,2,10,318,16,24,34,"[课程, 计算机, 网络, 教育, 公开课, 复旦大学, 网页制作, dw, Dreamweaver, 计算机网络与网页制作]"
